name,team,k_pct,bb_pct,woba,wrc_plus,iso
PJ Higgins,CIN,25.2,6.8,0.273,68,0.098
Will Brennan,SFG,12.7,4.8,0.296,91,0.111
Reese McGuire,,22.9,5.6,0.259,63,0.094
Michael Conforto,CHC,26.6,11.8,0.31,100,0.15
Isiah Kiner-Falefa,BOS,15.7,5.1,0.274,69,0.063
David Fry,CLE,28.7,10.4,0.298,91,0.151
James McCann,ARI,28.7,4.2,0.264,65,0.112
Tyrone Taylor,NYM,21.5,4.1,0.282,82,0.148
George Valera,CLE,27.4,8.3,0.296,90,0.144
Luis Garcia Jr.,WSN,15.7,4.9,0.303,93,0.14
Drew Millas,WSN,21.0,7.6,0.262,65,0.095
Jose Tena,WSN,26.4,7.0,0.299,91,0.114
Javier Baez,DET,22.8,3.2,0.279,76,0.132
Billy Cook,PIT,28.7,6.9,0.29,82,0.132
Miguel Andujar,SDP,15.8,5.3,0.322,110,0.146
Luisangel Acuna,CHW,17.9,6.4,0.264,66,0.064
Andruw Monasterio,BOS,20.9,9.3,0.313,96,0.135
Jarred Kelenic,CHW,29.9,8.7,0.291,85,0.143
Dylan Moore,PHI,29.8,11.1,0.302,91,0.179
Wenceel Perez,DET,19.6,7.9,0.284,80,0.149
Gavin Sheets,SDP,20.7,7.1,0.316,106,0.196
Luke Williams,ATL,30.1,7.7,0.258,62,0.105
Rafael Marchan,PHI,16.8,6.0,0.236,46,0.09
Kyle Farmer,ATL,22.4,5.1,0.281,77,0.116
Deyvison De Los Santos,MIA,26.1,5.3,0.288,82,0.137
Cedric Mullins,TBR,22.1,7.8,0.264,66,0.144
Heriberto Hernandez,MIA,27.4,11.3,0.297,88,0.144
Luken Baker,ARI,28.7,10.6,0.299,90,0.173
Keibert Ruiz,WSN,12.1,4.1,0.27,71,0.123
Nicky Lopez,CHC,15.9,8.1,0.259,65,0.06
Marcell Ozuna,PIT,24.5,11.0,0.305,93,0.154
Andrew McCutchen,TEX,27.0,11.4,0.296,90,0.137
Yohendrick Pinango,TOR,22.5,8.3,0.285,82,0.125
Rob Refsnyder,SEA,27.2,10.1,0.29,91,0.155
Tommy Pham,,25.8,9.5,0.28,81,0.12
Eloy Jimenez,TOR,20.2,7.3,0.298,90,0.114
Sebastian Rivero,LAA,22.8,4.4,0.246,53,0.096
Austin Wynns,ATH,23.1,6.5,0.229,40,0.08
Connor Joe,SEA,25.4,10.7,0.282,86,0.112
Andrew Benintendi,CHW,23.0,7.8,0.303,93,0.159
Patrick Wisdom,SEA,40.3,8.8,0.276,81,0.2
Carlos Santana,ARI,19.8,10.8,0.28,77,0.118
Jeimer Candelario,LAA,30.1,7.3,0.276,73,0.16
Tim Tawa,ARI,24.8,8.5,0.274,73,0.132
Randal Grichuk,NYY,23.6,5.5,0.28,79,0.162
Jordan Beck,COL,27.1,7.7,0.293,73,0.149
Noelvi Marte,CIN,24.0,6.1,0.291,80,0.135
Felix Reyes,PHI,18.7,3.1,0.276,73,0.139
Greg Jones,MIL,45.3,6.2,0.233,46,0.102
Lenyn Sosa,TOR,22.3,3.5,0.283,80,0.145
Jose Fernandez,ARI,24.2,4.0,0.29,83,0.121
Nick Castellanos,SDP,24.8,6.0,0.283,83,0.143
